prep_date	label	skyline_id	sample	description
2018-08-15	A1	QZ180913_PrP_Exp16_Set1_A1_03	13-202	
2018-08-15	B1	QZ180913_PrP_Exp16_Set1_B1_03	13-202	
2018-08-15	C1	QZ180910_PrP_Exp16_Set1_C1_03	13-230	
2018-08-15	D1	QZ180910_PrP_Exp16_Set1_D1_02	13-230	
2018-08-15	E1	QZ180910_PrP_Exp16_Set1_E1_02	13-294	
2018-08-15	F1	QZ180910_PrP_Exp16_Set1_F1_02	13-294	
2018-08-15	G1	QZ180910_PrP_Exp16_Set1_G1_02	9-IPC	
2018-08-15	H1	QZ180910_PrP_Exp16_Set1_H1_02	9-IPC	
2018-08-15	I1	QZ180910_PrP_Exp16_Set1_I1_02	15-302	
2018-08-15	J1	QZ180910_PrP_Exp16_Set1_J1_02	15-302	
2018-08-15	K1	QZ180910_PrP_Exp16_Set1_K1_02	15-328	
2018-08-15	L1	QZ180910_PrP_Exp16_Set1_L1_02	15-328	
2018-08-15	M1	QZ180906_PrP_Exp16_Set1_M1_01	15-422	
2018-08-15	N1	QZ180906_PrP_Exp16_Set1_N1_01	15-422	
2018-08-15	O1	QZ180906_PrP_Exp16_Set1_O1_01	IZ_1681	
2018-08-15	P1	QZ180911_PrP_Exp16_Set1_P1_02	IZ_1681	
2018-08-15	Q1	QZ180911_PrP_Exp16_Set1_Q1_02	IZ_2161	
2018-08-15	R1	QZ180911_PrP_Exp16_Set1_R1_02	IZ_2161	
2018-08-15	S1	QZ180911_PrP_Exp16_Set1_S1_02	IZ_2178	
2018-08-15	T1	QZ180911_PrP_Exp16_Set1_T1_02	IZ_2178	
2018-08-15	U1	QZ180911_PrP_Exp16_Set1_U1_02	IZ_4272	
2018-08-15	V1	QZ180911_PrP_Exp16_Set1_V1_02	IZ_4272	
2018-08-15	W1	QZ180912_PrP_Exp16_Set1_W1_03	IZ_4383	
2018-08-15	X1	QZ180911_PrP_Exp16_Set1_X1_02	IZ_4383	
