batchno	sample
1	13-202
1	13-230
1	13-294
1	15-302
1	15-328
1	15-422
1	IZ_1681
1	IZ_2161
1	IZ_2178
1	IZ_4272
1	IZ_4383
2	07-242
2	11-158
2	14-013
2	14-286
2	15-406
2	15-446
2	16-226
2	IZ_1287
2	IZ_2114
2	IZ_3304
2	IZ_4296
3	10-094
3	15-307
3	16-001
3	16-324
3	IZ_1168
3	IZ_1740
3	IZ_2923
3	IZ_4319
3	IZ_45
3	IZ_690
3	IZ_711
4	11-043
4	12-058
4	14-012
4	14-150
4	15-184
4	16-403
4	IZ_1233
4	IZ_1993
4	IZ_2035
4	IZ_28
4	IZ_408
5	11-109
5	11-333
5	12-036
5	14-246
5	16-314
5	IZ_2071
5	IZ_2337
5	IZ_2736
5	IZ_3916
5	IZ_396
5	IZ_4254
6	12-177
6	14-017
6	14-100
6	14-300
6	15-385
6	16-097
6	IZ_2166
6	IZ_3498
