ranking	entry_name	numSpectra1	totalIntensity01	numSpectr02	totalIntensity02	numColumnsProteinObserved	numSpectraProteinObserved	protein_mw	species	numSpeciesPresentR1	numPepsUniqueSharedSpecies	numSpectraSharedSpecies	totalIntensitySharedSpecies	numPepsUniqueSpecies1	numSpectraSpecies1	totalIntensitySpecies1	numPepsUniqueSpecies2	accession_number	accession_numbers	coverage_map	coverage_maps	percentCoverage	percentCoverages	numPepsUnique	scoreUnique	scoresUnique	groupNum	subgroupNum
1	Serum albumin	422	3.08E+13	528	3.57E+13	2	950	71362.3	HUMAN	1	6	38	8.28E+12	79	913	5.83E+13	0	P02768	P02768|D6RHD5|P02768-2|C9JKR2|P02769|P07724	0+24+195+2+8+20+185+3+15+16+77+3+10+7+16+3+25	0+24+195+2+8+20+185+3+15+16+77+3+10+7+16+3+25|0+18+51+2+8+20+185+3+15+16+77+3+10+7+16+3+25|0+24+20+13+185+3+15+16+77+3+10+7+16+3+25|0+24+20+13+185+3+15+16+77+3+10+7+16+3+25|0+160+7+55+6+28+7+173+15+47+9+100|0+88+9+20+13+478	87.1	87.1|84.3|83.4|83.4|7.2|3.6	84	1200.53	1200.53|838.66|741.5|741.5|70.25|32.07	2	2.1
2	Serotransferrin	121	1.19E+12	135	1.40E+12	2	256	79344.7	HUMAN	1	4	13	1.12E+11	53	245	2.51E+12	0	P02787	P02787|F8WCI6|F8WEK9|E9Q035|Q921I1|F8WC57	0+26+11+9+86+3+27+5+143+5+8+8+12+3+87+19+12+3+22+5+15+6+26+5+18+7+38+12+21+4+13+9+28+2	0+26+11+9+86+3+27+5+143+5+8+8+12+3+87+19+12+3+22+5+15+6+26+5+18+7+38+12+21+4+13+9+28+2|0+26+11+9+61+13|0+26+11+9+23+46|0+135+8+79+15+296+7+438|0+135+8+93+15+296+7+143|0+26+11+65	81.2	81.2|60|29.5|3|4.3|10.7	57	811.61	811.61|70.57|48.32|44.05|44.05|11.63	5	5.1
3	Alpha-1-antitrypsin	93	6.07E+11	111	6.89E+11	2	204	46906.8	HUMAN	1			0.00E+00	39	204	1.30E+12	0	P01009	P01009|P01009-2|P01009-3	0+34+29+62+62+5+49+5+21+16+72+4+59	0+34+29+62+62+5+49+5+21+16+72+4+59|0+34+29+62+62+5+49+5+21+16+72+4|0+34+29+62+62+5+49+5+21+16+23	69.8	69.8|64.9|60.1	39	501.06	501.06|447.17|371.91	8	8.1
4	Prostaglandin-H2 D-isomerase	26	3.36E+11	49	4.58E+11	2	75	21256.7	HUMAN	1			0.00E+00	11	75	7.94E+11	0	P41222	P41222|Q5SQ12	0+42+43+7+59+17+17+5	0+42+43+7+59+17+17+5|0+42+43+7+16+52	62.6	62.6|36.8	11	153.27	153.27|76.23	75	75.1
5	Hemoglobin subunit beta	26	3.03E+11	34	4.74E+11	2	60	16112.2	HUMAN	1	2	6	1.00E+11	12	53	6.77E+11	0	P68871	P68871|P02089|P02088|A8DUK4|P02100|P02104|P02070|P69891|P69892|E9PBW4	0+9+51+6+81	0+9+51+6+81|0+31+10+55+9+42|0+31+10+55+9+42|0+31+10+55+9+42|0+31+10+47+8+51|0+31+10+47+8+51|0+29+10+106|0+31+10+106|0+31+10+106|0+21+10+106	89.7	89.7|12.9|12.9|12.9|12.2|12.2|6.8|6.8|6.8|7.2	14	203.38	203.38|23.94|23.94|23.94|19.4|19.4|14.39|14.39|14.39|14.39	51	51.1
6	Cystatin-C	47	2.69E+11	52	3.40E+11	2	99	16027.2	HUMAN	1			0.00E+00	11	99	6.10E+11	0	P01034	P01034	0+34+43+2+17+5+18+1+20+6	0+34+43+2+17+5+18+1+20+6	67.1	67.1	11	150.95	150.95	77	77.1
7	Hemoglobin subunit delta	18	1.84E+11	22	2.87E+11	2	40	16169.3	HUMAN	1			0.00E+00	12	40	4.71E+11	0	P02042	P02042|E9PFT6	0+9+51+6+51+4+26	0+9+51+6+51+4+26|0+9+51+6+39+36	87	87|63.8	12	140.66	140.66|103.03	51	51.2
8	Major prion protein	32	4.10E+11	10	8.78E+09	2	42	27888.9	HUMAN	1			0.00E+00	11	42	4.18E+11	0	P04156	P04156|P04156-2	0+23+25+137+43+25	0+23+25+137+43+25|0+16+25+137+43+25	26.8	26.8|27.6	11	143.54	143.54|143.54	31	31.2
9	Apolipoprotein E	43	1.80E+11	49	2.26E+11	2	92	36267.6	HUMAN	1	2	3	4.21E+10	31	89	3.63E+11	0	P02649	P02649|P08226	0+19+68+3+18+5+19+5+15+2+6+8+17+5+6+2+9+2+22+2+59+8+17	0+19+68+3+18+5+19+5+15+2+6+8+17+5+6+2+9+2+22+2+59+8+17|0+42+6+142+9+112	80.7	80.7|4.8	33	394.1	394.1|20.63	15	15.1
10	Isoform 2 of Clusterin	31	1.34E+11	34	1.84E+11	2	65	58573.3	HUMAN	1			0.00E+00	21	65	3.18E+11	0	P10909-2	P10909-2|P10909-5|P10909|P10909-4|P10909-3	0+96+10+13+12+51+8+20+36+20+8+54+10+18+18+3+11+3+7+39+40+4+14+6	0+96+10+13+12+51+8+20+36+20+8+54+10+18+18+3+11+3+7+39+40+4+14+6|0+55+10+13+12+51+8+20+36+20+8+54+10+18+18+3+11+3+7+39+40+4+14+6|0+44+10+13+12+51+8+20+36+20+8+54+10+18+18+3+11+3+7+39+40+4+14+6|0+11+10+13+12+51+8+20+36+20+8+54+10+18+18+3+11+3+7+39+40+4+14+6|0+7+12+20+8+54+10+18+18+3+11+3+7+39+40+4+14+6	34.7	34.7|37.8|38.7|41.8|43.7	21	244.49	244.49|244.49|244.49|244.49|134.95	43	43.1
